id,type,breed,age,gender,size,description,name,status,published_at
65523979,Cat,Domestic Short Hair,Baby,Female,Small,"Meet Idalia, the world&amp;#39;s cutest and cuddliest kitten! Idalia
is a 2-3 month old white and brown tabby female kitten...",Idalia,adoptable,2023-07-20T17:03:11+0000
65523978,Cat,Domestic Short Hair,Baby,Male,Small,"Meet Ghrian, one of the world&amp;#39;s cutest and cuddliest kittens! Ghrian is a
2-3 month old white and brown tabby...",Ghrian,adoptable,2023-07-20T17:03:11+0000
65523969,Cat,Domestic Short Hair,Baby,Male,Medium,These adorable brother kittens are three months old and super happy to be ready for adoption!  Adoption fee $84.00(cash only)...,"Firecracker, Roman, Benjamin and Jefferson",adoptable,2023-07-20T17:02:43+0000
65523967,Cat,Tabby,Baby,Male,Large,Travis is one of a litter of four born to a stray. Mom now in custody and scheduled for spay...,Travis ,adoptable,2023-07-20T17:02:32+0000
65523966,Cat,Domestic Short Hair,Adult,Female,Medium,Primary Color: Grey Weight: 8.9lbs Age: 3yrs 0mths 1wks Animal has been Spayed,Bella,adoptable,2023-07-20T17:02:20+0000
65523959,Cat,Domestic Short Hair,Baby,Male,Medium,Primary Color: Buff Weight: 3.26lbs Age: 0yrs 0mths 11wks Animal has been Neutered,Favor,adoptable,2023-07-20T17:01:50+0000
65523961,Cat,Domestic Short Hair,Baby,Male,Medium,Primary Color: Orange Tabby Weight: 3.4lbs Age: 0yrs 0mths 11wks Animal has been Neutered,Instacart,adoptable,2023-07-20T17:01:50+0000
65523956,Cat,Domestic Short Hair,Baby,Male,Medium,Primary Color: Black Weight: 2.6lbs Age: 0yrs 0mths 12wks Animal has been Neutered,Harley,adoptable,2023-07-20T17:01:50+0000
65523960,Cat,Domestic Short Hair,Baby,Male,Medium,Primary Color: Black Weight: 1.76lbs Age: 0yrs 0mths 12wks Animal has been Neutered,Argus,adoptable,2023-07-20T17:01:50+0000
65523954,Cat,Domestic Short Hair,Adult,Female,Medium,Primary Color: Black Secondary Color: White Weight: 5.63lbs Age: 5yrs 0mths 0wks Animal has been Spayed,Celeste,adoptable,2023-07-20T17:01:48+0000
65523947,Cat,American Shorthair,Baby,Female,Medium,,F167,adoptable,2023-07-20T17:01:10+0000
65523946,Cat,Siamese,Young,Female,Medium,***Please read profile in its entirety. If the profile is visible we are still accepting applications at the link in...,Mamacita,adoptable,2023-07-20T17:01:04+0000
